edge_probability,no. of vertices,time(ns)
0.2,50,47709
0.2,100,157462
0.2,150,354626
0.2,200,628641
0.2,250,946664
0.2,300,1333108
0.2,350,1628166
0.2,400,2086690
0.2,450,2623755
0.2,500,3063178
