edge_probability, no. of vertices, time(ns)
0.9,50,104037
0.9,100,415593
0.9,150,950753
0.9,200,1683732
0.9,250,2538084
0.9,300,3665333
0.9,350,4978368
0.9,400,6453476
0.9,450,8204489
0.9,500,10083033
