edge_probability, no. of vertices, time(ns)
0.1,50,106010
0.1,100,392152
0.1,150,884927
0.1,200,1566849
0.1,250,2423412
0.1,300,3476284
0.1,350,4747931
0.1,400,6167055
0.1,450,7812781
0.1,500,9622326
