edge_probability,no. of vertices,time(ns)
0.1,50,54049
0.1,100,136721
0.1,150,279703
0.1,200,525094
0.1,250,637479
0.1,300,947038
0.1,350,1194564
0.1,400,1322871
0.1,450,2368262
0.1,500,2143837
