edge_probability, no. of vertices, time(ns)
0.3,50,65321
0.3,100,249634
0.3,150,479901
0.3,200,854368
0.3,250,1307295
0.3,300,1844514
0.3,350,2460993
0.3,400,3180872
0.3,450,4041440
0.3,500,4869366
