edge_probability, no. of vertices, time(ns)
0.8,50,55831
0.8,100,227718
0.8,150,488810
0.8,200,822513
0.8,250,1248216
0.8,300,1751589
0.8,350,2363753
0.8,400,2974855
0.8,450,3748176
0.8,500,4628028
