edge_probability, no. of vertices, time(ns)
0.2,50,106207
0.2,100,427934
0.2,150,925134
0.2,200,1631828
0.2,250,2522129
0.2,300,3620548
0.2,350,4959754
0.2,400,6435305
0.2,450,8212901
0.2,500,10093518
