edge_probability, no. of vertices, time(ns)
0.5,50,112815
0.5,100,449735
0.5,150,994513
0.5,200,1771436
0.5,250,2751519
0.5,300,3974954
0.5,350,5384289
0.5,400,7012335
0.5,450,8877069
0.5,500,10933585
