edge_probability, no. of vertices, time(ns)
0.3,50,112342
0.3,100,425156
0.3,150,957603
0.3,200,1679669
0.3,250,2617981
0.3,300,3770279
0.3,350,5103927
0.3,400,6660497
0.3,450,8456685
0.3,500,10389034
