edge_probability, no. of vertices, time(ns)
0.5,50,63939
0.5,100,224534
0.5,150,519292
0.5,200,832205
0.5,250,1284359
0.5,300,1760289
0.5,350,2366255
0.5,400,3131716
0.5,450,3819951
0.5,500,4759515
