edge_probability,no. of vertices,time(ns)
0.8,50,97438
0.8,100,380185
0.8,150,807293
0.8,200,1337163
0.8,250,2205550
0.8,300,3309320
0.8,350,4444668
0.8,400,5390580
0.8,450,6854270
0.8,500,8285288
