edge_probability, no. of vertices, time(ns)
0.9,50,59290
0.9,100,223564
0.9,150,488788
0.9,200,812977
0.9,250,1243316
0.9,300,1804523
0.9,350,2357910
0.9,400,2983393
0.9,450,3746304
0.9,500,4590078
