no_of_vertices,no_of_stages,no_of_edges,average_time(ns)
2000,10,8000,193130
3000,10,12000,212196
4000,10,16000,251594
5000,10,20000,339638
6000,10,24000,371648
7000,10,28000,435020
8000,10,32000,493771
9000,10,36000,551448
10000,10,40000,612275
