edge_probability,no. of vertices,time(ns)
0.5,50,74918
0.5,100,337121
0.5,150,590410
0.5,200,1063716
0.5,250,1627850
0.5,300,2550924
0.5,350,3240798
0.5,400,3909545
0.5,450,5040100
0.5,500,6280193
