edge_probability,no. of vertices,time(ns)
0.9,50,111470
0.9,100,414105
0.9,150,797383
0.9,200,1484907
0.9,250,2236642
0.9,300,3360116
0.9,350,4529115
0.9,400,5950756
0.9,450,7140037
0.9,500,8972922
