array_size,sorting_time(ns)
500,294751
1000,601235
1500,890004
2000,1.30595e+006
2500,1.60592e+006
3000,1.93907e+006
3500,2.23899e+006
4000,2.61498e+006
4500,2.8471e+006
5000,3.27494e+006
