edge_probability, no. of vertices, time(ns)
0.8,50,118514
0.8,100,425087
0.8,150,969276
0.8,200,1741062
0.8,250,2621145
0.8,300,3756547
0.8,350,5076770
0.8,400,6602247
0.8,450,8409929
0.8,500,10357990
