array_size,key,N,average_searching_time(ns),index_returned,key_found_at_level
100000,56172,2,345.23,51111,16
100000,56172,3,293.02,51111,11
100000,56172,4,240.04,51111,7
100000,56172,5,259.98,51111,6
100000,56172,6,280.2,51111,7
100000,56172,7,304.98,51111,6
100000,56172,8,360.73,51111,5
100000,56172,9,419.45,51111,6
100000,56172,10,272.88,51111,5
100000,56172,11,443.47,51111,5
100000,56172,12,415.28,51111,5
100000,56172,13,524.99,51111,4
100000,56172,14,525.07,51111,5
100000,56172,15,259.96,51111,2
100000,56172,16,563.82,51111,4
