edge_probability, no. of vertices, time(ns)
0.1,50,55252
0.1,100,229652
0.1,150,499710
0.1,200,842127
0.1,250,1293033
0.1,300,1863373
0.1,350,2467364
0.1,400,3198165
0.1,450,4052068
0.1,500,4946213
