array_size,sorting_time(ns)
500,332739
1000,718722
1500,944774
2000,1.39731e+006
2500,1.58723e+006
3000,1.92871e+006
3500,2.3889e+006
4000,2.62189e+006
4500,3.01242e+006
5000,3.40052e+006
