no_of_vertices,no_of_stages,no_of_edges,average_time(ns)
2000,5,8000,130218
3000,5,12000,196317
4000,5,16000,249167
5000,5,20000,303522
6000,5,24000,360444
7000,5,28000,420780
8000,5,32000,488996
9000,5,36000,546977
10000,5,40000,607772
