array_size,key,average_searching_time(ns),index_returned,case_type
50000,28086,70628,28651,average
50000,36313,13674,5723,average
50000,17415,995,131,best
50000,45768,39587,16033,average
50000,307,83752,34732,average
50000,29717,48012,20614,average
50000,43604,33982,12749,average
50000,25769,58708,24089,average
50000,47953,32662,13892,average
50000,48758,39054,16604,average
100000,16958,49012,18086,average
100000,66158,40879,17123,average
100000,31693,146141,55459,average
100000,52867,126418,46444,average
100000,70135,124008,49805,average
100000,78851,68420,27788,average
100000,25531,226843,89958,average
100000,7411,74625,30447,average
100000,57442,243562,-1,worst
100000,32986,103641,39424,average
200000,67613,252235,98901,average
200000,116754,373457,158481,average
200000,47649,347904,141717,average
200000,6195,100759,39296,average
200000,34402,153975,66291,average
200000,185726,350435,127693,average
200000,193220,420133,173237,average
200000,3951,137384,59175,average
200000,130738,451390,178030,average
200000,155881,303657,118352,average
300000,143341,438733,173423,average
300000,100818,544474,231531,average
300000,19820,189277,78124,average
300000,102762,582264,203790,average
300000,4165,460892,112894,average
300000,124451,679474,243816,average
300000,252468,20110,8868,best
300000,272205,517203,187874,average
300000,84880,23513,5643,best
300000,195452,81328,34971,average
400000,368110,298073,122957,average
400000,228261,3001,1435,best
400000,339252,30897,11857,best
400000,3132,915625,358740,average
400000,224135,29010,12758,best
400000,114786,918386,351031,average
400000,355791,295711,127070,average
400000,291838,482058,206663,average
400000,430,612606,256767,average
400000,280972,557461,222628,average
500000,131091,905288,361373,average
500000,226503,1.06657e+006,403113,average
500000,168959,113627,44843,best
500000,111867,625054,247342,average
500000,467142,218078,86806,average
500000,436081,78718,29574,best
500000,239070,587573,231550,average
500000,358764,1.14799e+006,480155,worst
500000,489359,414916,177883,average
500000,442777,89230,37882,best
600000,460669,1.03542e+006,425246,average
600000,201823,164507,71228,average
600000,421787,324076,126076,average
600000,402873,394137,169065,average
600000,100150,1.5712e+006,595911,worst
600000,363329,1.22673e+006,435654,average
600000,298730,866055,332565,average
600000,39996,301216,124481,average
600000,388125,632501,248991,average
600000,460963,1.1333e+006,468451,average
700000,465371,1.42255e+006,561147,average
700000,578870,647538,268306,average
700000,596069,127775,47956,best
700000,101409,1.12751e+006,401911,average
700000,373158,1.43524e+006,571297,average
700000,1670,1.7647e+006,695993,worst
700000,214301,1.54128e+006,544424,average
700000,345750,720349,279730,average
700000,229802,799412,307059,average
700000,67912,707886,267284,average
800000,331073,409069,170996,average
800000,553958,262090,96909,average
800000,449726,1.8848e+006,747295,worst
800000,500115,268999,105760,average
800000,557151,691645,257348,average
800000,604061,204434,82729,average
800000,460952,1.33012e+006,513122,average
800000,369487,1.31653e+006,523608,average
800000,255705,427522,162848,average
800000,622055,1.77929e+006,706629,average
900000,894985,1.38354e+006,551506,average
900000,676456,1.55893e+006,588382,average
900000,524327,2.2528e+006,860919,worst
900000,878676,1.9761e+006,809285,average
900000,357713,2.27293e+006,871990,worst
900000,160171,2.16617e+006,856747,worst
900000,368349,1.10792e+006,434458,average
900000,404613,1.68062e+006,664336,average
900000,128604,1.7329e+006,667148,average
900000,751909,1.89577e+006,789250,average
