array_size,key,N,average_searching_time(ns),index_returned,key_found_at_level
300000,168518,2,844.36,163092,18
300000,168518,3,569.52,163092,12
300000,168518,4,365.17,163092,7
300000,168518,5,481.65,163092,8
300000,168518,6,415.42,163092,7
300000,168518,7,460.04,163092,5
300000,168518,8,699.16,163092,6
300000,168518,9,1000.38,163092,6
300000,168518,10,615.17,163092,5
300000,168518,11,795.28,163092,5
300000,168518,12,810.45,163092,5
300000,168518,13,671.03,163092,5
300000,168518,14,875.33,163092,5
300000,168518,15,778.29,163092,5
300000,168518,16,863.5,163092,4
