edge_probability,no. of vertices,time(ns)
0.3,50,64840
0.3,100,192180
0.3,150,477863
0.3,200,740796
0.3,250,1267458
0.3,300,1608698
0.3,350,2443909
0.3,400,2908324
0.3,450,3345962
0.3,500,4676513
