array_size,key,N,average_searching_time(ns),index_returned,key_found_at_level
400000,224691,2,406.16,219175,17
400000,224691,3,401.53,219175,12
400000,224691,4,395.97,219175,9
400000,224691,5,487.77,219175,8
400000,224691,6,652.58,219175,7
400000,224691,7,667.16,219175,7
400000,224691,8,871.5,219175,6
400000,224691,9,811.53,219175,6
400000,224691,10,615.63,219175,6
400000,224691,11,517.09,219175,5
400000,224691,12,767.21,219175,5
400000,224691,13,673.37,219175,5
400000,224691,14,861.85,219175,5
400000,224691,15,534.9,219175,5
400000,224691,16,728.23,219175,5
