graph_density,no_of_vertices,no_of_edges,average_time(ns)
sparse,50,2500,1931940
sparse,100,10000,14375980
sparse,150,22500,47591185
sparse,200,40000,113553000
sparse,250,62500,219937800
sparse,300,90000,378427950
sparse,350,122500,599099800
sparse,400,160000,892993550
sparse,450,202500,1270652600
sparse,500,250000,1742979950
