array_size,sorting_time(ns)
500,276240
1000,954040
1500,983680
2000,1.20909e+006
2500,1.50559e+006
3000,1.89484e+006
3500,2.30586e+006
4000,2.6688e+006
4500,2.96081e+006
5000,3.12163e+006
